Point X,Point Y,Planting Site Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree: Height,block_fips
-78.9104644397,36.0110683417,3186889,2018-07-23T12:52:23.436243+00:00,Dbh99999,,False,,,,,,,,370630003022014
-78.9262255059,35.9872924707,3192299,2018-07-31T13:41:28.045649+00:00,KPIGNONE,,False,,,,,,,,370630006001002
-78.88136253,35.99260943,3166520,2020-04-25T18:44:34.227532+00:00,ehobbsbrown,2939678,True,Lagerstroemia,,,,Common crapemyrtle,3.0,0-20,370630010011008
-78.8857197762,36.0074323697,3214013,2018-10-22T17:53:20.616084+00:00,Dbh99999,,False,,,,,,,,370630002002006
-78.92956482,36.01952864,3268568,2020-03-30T19:58:37.298088+00:00,DanHickey,2906931,True,Acer,buergerianum,,,Trident maple,7.0,0-20,370630004012010
-78.9043599608,35.9390213375,3313704,2020-07-02T12:52:46.273052+00:00,DanHickey,2948103,True,Pistacia,chinensis,,,Chinese pistache,12.0,0-20,370630020262027
-78.9107819977,36.014184625,3186099,2018-07-20T12:47:51.521645+00:00,KPIGNONE,,False,,,,,,,,370630003021011
-78.9100525975,36.0111537571,3186890,2018-07-23T12:52:56.818694+00:00,KPIGNONE,,False,,,,,,,,370630003022006
-78.9192688465,35.9918238266,3191559,2018-07-30T16:13:40.721295+00:00,Dbh99999,,False,,,,,,,,370630005004004
-78.886023582,36.0072355538,3214014,2018-10-22T13:50:24.015472+00:00,Dbh99999,,False,,,,,,,,370630002002006
-78.8867859542,35.9993518136,3214487,2018-10-24T17:25:53.690070+00:00,Dbh99999,,False,,,,,,,,370630009002021
-78.8869778038,35.9691916441,3175285,2018-06-29T14:40:33.911159+00:00,KPIGNONE,,False,,,,,,,,370630014001010
-78.9061808592,35.9654760913,3179993,2018-07-11T13:24:45.159105+00:00,Dbh99999,,False,,,,,,,,370630013041017
-78.9045363352,35.9390616934,3313705,2020-07-02T12:55:09.512457+00:00,DanHickey,2948104,True,Pistacia,chinensis,,,Chinese pistache,12.0,0-20,370630020262027
-78.9193573594,35.9918319648,3191560,2018-07-30T16:17:10.813656+00:00,Dbh99999,,False,,,,,,,,370630005004004
-78.9262519409,35.9875112904,3192301,2018-07-31T13:38:32.755914+00:00,Dbh99999,,False,,,,,,,,370630006002002
-78.8868999481,35.9994114878,3214488,2018-10-24T17:25:42.731863+00:00,Dbh99999,,False,,,,,,,,370630009002010
-78.8863148344,36.0072233802,3214015,2018-10-22T13:50:55.650289+00:00,Dbh99999,,False,,,,,,,,370630002002006
-78.8869299074,35.9693436789,3175286,2018-06-29T14:39:09.341431+00:00,KPIGNONE,,False,,,,,,,,370630014001010
-78.9065215283,35.9655374351,3179994,2018-07-11T13:27:27.582494+00:00,Dbh99999,,False,,,,,,,,370630013041009
-78.9162553847,35.9671146562,3181450,2018-07-16T17:16:02.552481+00:00,Dbh99999,,False,,,,,,,,370630013041006
-78.91027413,36.01104799,3186891,2020-03-30T19:43:43.378379+00:00,DanHickey,2833924,True,Acer,buergerianum,,,Trident maple,4.0,0-20,370630003022014
-78.91090989,36.01412432,2589132,2020-03-30T20:22:44.480231+00:00,DanHickey,2303734,True,Quercus,phellos,,,Willow oak,24.0,20-40,370630003012013
-78.8866344094,36.0070602571,3214016,2018-10-22T17:52:34.497700+00:00,Dbh99999,,False,,,,,,,,370630002002005
-78.9109115601,36.0142071834,3186100,2018-07-20T12:45:38.945440+00:00,Dbh99999,,False,,,,,,,,370630003012013
-78.9099367857,36.0111509203,3186892,2018-07-23T12:53:30.661571+00:00,KPIGNONE,,False,,,,,,,,370630003022006
-78.9185166993,35.9917929187,3191561,2018-07-30T13:54:52.439183+00:00,Dbh99999,,False,,,,,,,,370630005004003
-78.9261361066,35.9876183545,3192302,2018-07-31T13:39:03.496317+00:00,Dbh99999,,False,,,,,,,,370630006002002
-78.886898607,35.999529751,3214489,2018-10-24T17:26:27.418211+00:00,Dbh99999,,False,,,,,,,,370630009002010
-78.8868213777,35.9690526018,3175287,2018-06-29T14:40:59.049022+00:00,Dbh99999,,False,,,,,,,,370630014001011
-78.9066825807,35.9656373741,3179995,2018-07-11T16:45:41.158076+00:00,Dbh99999,,False,,,,,,,,370630013041009
-78.90217513,36.00064185,3213224,2019-08-27T17:53:04.769245+00:00,DanHickey,2874606,True,Chionanthus,retusus,,,Chinese fringe tree,0.5,0-20,370630022001019
-78.9047306613,35.9390831679,3313706,2020-07-02T12:53:27.259529+00:00,DanHickey,2948105,True,Quercus,lyrata,,,Overcup oak,13.0,20-40,370630020262027
-78.9107756317,36.0143394604,3186101,2018-07-20T17:56:08.377909+00:00,Dbh99999,,False,,,,,,,,370630003021011
-78.89105201,35.99174462,3214490,2020-03-05T13:48:42.899978+00:00,DanHickey,2939642,True,Ilex,opaca,,,American holly,1.0,0-20,370630011001028
-78.8864131272,36.0070884639,3214017,2018-10-22T17:53:05.538173+00:00,Dbh99999,,False,,,,,,,,370630002002005
