"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more","id","Geographic Area Name"
"281","72","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","16","0","12","14","17","9","16","19","23","77","56","92","48","32","26","8","12","9","14","0","12","7","11","0","12","0","12","0","12","0","12","1500000US370630001011","Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"329","72","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","20","9","13","0","12","32","46","74","58","40","28","44","27","49","37","7","12","10","16","15","20","0","12","16","22","9","14","0","12","0","12","0","12","1500000US370630001012","Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"379","82","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","12","0","12","0","12","5","8","78","51","130","57","95","63","46","35","5","9","0","12","0","12","0","12","0","12","0","12","9","15","1500000US370630001021","Block Group 1, Census Tract 1.02, Durham County, North Carolina"
"360","64","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","9","0","12","7","11","27","29","77","40","57","41","93","38","20","20","25","23","42","47","0","12","6","9","0","12","0","12","0","12","1500000US370630001022","Block Group 2, Census Tract 1.02, Durham County, North Carolina"
"200","83","0","12","0","12","0","12","0","12","0","12","0","12","0","12","40","59","0","12","0","12","0","12","6","10","13","21","49","46","0","12","23","29","0","12","26","29","27","32","9","15","0","12","0","12","7","11","0","12","1500000US370630002001","Block Group 1, Census Tract 2, Durham County, North Carolina"
"146","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","9","14","0","12","0","12","0","12","37","38","8","14","29","44","0","12","22","25","18","23","15","17","0","12","0","12","0","12","0","12","1500000US370630002002","Block Group 2, Census Tract 2, Durham County, North Carolina"
"264","64","8","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","38","32","32","29","71","49","62","43","27","27","19","20","7","11","0","12","0","12","1500000US370630002003","Block Group 3, Census Tract 2, Durham County, North Carolina"
"148","68","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","22","0","12","55","45","44","41","18","21","5","9","7","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630003011","Block Group 1, Census Tract 3.01, Durham County, North Carolina"
"128","56","8","14","0","12","0","12","0","12","0","12","0","12","8","12","0","12","0","12","0","12","7","11","9","13","0","12","16","18","29","36","38","39","0","12","0","12","0","12","7","10","6","9","0","12","0","12","0","12","1500000US370630003012","Block Group 2, Census Tract 3.01, Durham County, North Carolina"
"87","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","28","0","12","0","12","0","12","0","12","0","12","6","11","8","12","0","12","12","15","8","14","14","18","20","17","0","12","0","12","0","12","1500000US370630003013","Block Group 3, Census Tract 3.01, Durham County, North Carolina"
"310","84","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","10","6","10","0","12","48","54","74","48","68","50","53","38","37","31","5","10","13","19","0","12","0","12","1500000US370630003021","Block Group 1, Census Tract 3.02, Durham County, North Carolina"
"171","53","0","12","6","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","22","7","11","16","18","21","19","34","25","8","12","18","21","30","24","15","18","0","12","0","12","1500000US370630003022","Block Group 2, Census Tract 3.02, Durham County, North Carolina"
"175","60","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","11","12","13","13","22","18","30","53","35","41","38","24","18","0","12","1500000US370630003023","Block Group 3, Census Tract 3.02, Durham County, North Carolina"
"309","59","0","12","0","12","8","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","21","0","12","0","12","11","16","30","23","36","30","37","28","58","36","78","40","37","31","0","12","0","12","0","12","0","12","1500000US370630004011","Block Group 1, Census Tract 4.01, Durham County, North Carolina"
"388","71","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","24","26","0","12","21","23","10","16","120","68","72","42","63","33","58","38","8","13","0","12","0","12","1500000US370630004012","Block Group 2, Census Tract 4.01, Durham County, North Carolina"
"243","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","8","0","12","23","26","0","12","26","26","70","37","89","43","20","21","0","12","11","17","0","12","1500000US370630004013","Block Group 3, Census Tract 4.01, Durham County, North Carolina"
"289","58","0","12","0","12","7","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","18","0","12","28","27","20","19","141","65","31","48","44","31","0","12","0","12","0","12","0","12","1500000US370630004021","Block Group 1, Census Tract 4.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005001","Block Group 1, Census Tract 5, Durham County, North Carolina"
"74","38","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","27","25","0","12","14","16","7","11","0","12","13","21","4","8","0","12","0","12","1500000US370630005002","Block Group 2, Census Tract 5, Durham County, North Carolina"
"78","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","19","21","12","21","18","26","12","13","5","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005003","Block Group 3, Census Tract 5, Durham County, North Carolina"
"118","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","16","0","12","14","18","0","12","28","28","13","20","0","12","0","12","52","44","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005004","Block Group 4, Census Tract 5, Durham County, North Carolina"
"426","111","14","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","21","0","12","0","12","15","24","11","21","36","43","26","29","99","66","42","48","35","38","65","54","15","24","30","43","13","20","12","19","0","12","1500000US370630006001","Block Group 1, Census Tract 6, Durham County, North Carolina"
